year,berri-uqam,jean-drapeau,longueuil–université-de-sherbrooke
2016,0.0,0.0,0.0
2017,0.0,0.0,0.0
2018,1.0,1.0,1.0
2019,0.0,0.0,0.0
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,1.0,1.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
