raw_date,raw_text
2024-04-02T15:35:13.000Z,"['Ligne 2 - Orange', 'Ligne 2 - Orange', '', '@stm_Orange', '·', ""[Lucien-L'allier station]"", "" Don't miss your train! You can access "", '@allo_exo', ' stations at ', 'Vendôme, ', 'De la Concorde and ', 'Parc stations.', '', 'exo - Réseau de transport métropolitain', 'exo - Réseau de transport métropolitain', '', '@allo_exo', '·', ""\u200dDès à présent, vous remarquerez la présence accrue de nos agents aux abords et à l'intérieur de la gare. Facilement identifiables, ils sont prêts à vous assister, vous orienter et répondre à toutes vos questions liées aux travaux. "", 'https://bit.ly/exolucienlallier…', 'https://', 'er', '…', '3', '6K']"
2024-04-02T15:30:29.000Z,"['Ligne 2 - Orange', 'Ligne 2 - Orange', '', '@stm_Orange', '·', ""[Station Lucien-L'allier]"", "" Ne manquez pas votre train! Vous pouvez accéder aux gares d'"", '@allo_exo', ' aux stations ', 'Vendôme, ', 'De la Concorde et ', 'Parc.', '', 'exo - Réseau de transport métropolitain', 'exo - Réseau de transport métropolitain', '', '@allo_exo', '·', ""\u200dDès à présent, vous remarquerez la présence accrue de nos agents aux abords et à l'intérieur de la gare. Facilement identifiables, ils sont prêts à vous assister, vous orienter et répondre à toutes vos questions liées aux travaux. "", 'https://bit.ly/exolucienlallier…', 'https://', 'er', '…', '1', '6', '6K']"
2024-04-01T15:14:20.000Z,"['Ligne 2 - Orange', 'Ligne 2 - Orange', '', '@stm_Orange', '·', '[Férié] ', "" Aujourd'hui, 1er avril, c'est le lundi de Pâques!"", "" Le métro est ouvert selon l'horaire du dimanche."", ' Le service à la clientèle est ouvert de 8h30 à 16h30.', ' Le comptoir des objets trouvés est fermé.', ' ', 'https://bit.ly/43NZwT9', 'https://', '1', '5', '3.6K']"
2024-04-01T12:35:13.000Z,"['Ligne 2 - Orange', 'Ligne 2 - Orange', '', '@stm_Orange', '·', '[Holiday] ', "" Today, April 1st, it's Easter Monday!"", ' Sunday service is offered in the métro.', ' Customer service is open from 8h30 to 16h30.', ' The lost and found center is closed.', ' ', 'https://bit.ly/4a6PrD3', 'https://', '3', '3.3K']"
2024-03-29T12:35:12.000Z,"['Ligne 2 - Orange', 'Ligne 2 - Orange', '', '@stm_Orange', '·', '[Holiday] ', "" Today, March 29, it's Good Friday!"", ' Sunday service is offered in the métro.', ' Customer service is open from 8h30 to 16h30.', ' The lost and found center is closed.', ' ', 'https://bit.ly/3xjt92l', 'https://', '5', '4.5K']"
2024-03-29T12:30:22.000Z,"['Ligne 2 - Orange', 'Ligne 2 - Orange', '', '@stm_Orange', '·', '[Férié] ', "" Aujourd'hui, le 29 mars, c'est Vendredi saint!"", "" Le métro est ouvert selon l'horaire du dimanche."", ' Le service à la clientèle est ouvert de 8h30 à 16h30.', ' Le comptoir des objets trouvés est fermé.', ' ', 'https://bit.ly/43BSDnG', 'https://', '1', '5', '5.6K']"
2024-03-29T01:14:53.000Z,"['Ligne 2 - Orange', 'Ligne 2 - Orange', '', '@stm_Orange', '·', 'Normal métro service ', '#stminfo', ' U', '1', '1', '3', '8.2K']"
2024-03-29T01:14:52.000Z,"['Ligne 2 - Orange', 'Ligne 2 - Orange', '', '@stm_Orange', '·', 'Service normal du métro ', '#stminfo', ' Q', '1', '1', '7K']"
2024-03-29T00:54:31.000Z,"['Ligne 2 - Orange', 'Ligne 2 - Orange', '', '@stm_Orange', '·', 'Service interruption ORANGE line between Côte-Vertu and L-Groulx. Inter. Emergency medical services. Service expected to resume at 21:45. ', '#stminfo', ' D', '9', '9', '3', '17K']"
2024-03-29T00:54:31.000Z,"['Ligne 2 - Orange', 'Ligne 2 - Orange', '', '@stm_Orange', '·', ""Interruption de service ligne ORANGE entre Côte-Vertu et L-Groulx. Inter. services médicaux d'urgence. Reprise prévue vers 21h45. "", '#stminfo', ' O', '3', '2', '1', '10K']"
