,stm_bleue,stm_jaune,stm_orange,stm_verte,rem_infoservice
0,snowdon,berri-uqam,côte-vertu,angrignon,brossard
1,côte-des-neiges,jean-drapeau,du collège,monk,du quartier
2,université-de-montréal,longueuil–université-de-sherbrooke,de la savane,jolicoeur,panama
3,édouard-montpetit,,namur,verdun,île-des-soeurs
4,outremont,,plamondon,lasalle,gare centrale
5,acadie,,snowdon,charlevoix,
6,parc,,villa-maria,lionel-groulx,
7,de castelnau,,vendôme,atwater,
8,jean-talon,,place-saint-henri,guy-concordia,
9,fabre,,lionel-groulx,concordia,
10,d'iberville,,georges-vanier,peel,
11,saint-michel,,lucien-l'allier,mcgill,
12,,,bonaventure,place-des-arts,
13,,,square-victoria–oaci,saint-laurent,
14,,,place-d'armes,berri-uqam,
15,,,champ-de-mars,beaudry,
16,,,berri-uqam,papineau,
17,,,sherbrooke,frontenac,
18,,,mont-royal,préfontaine,
19,,,laurier,joliette,
20,,,rosemont,pie-ix,
21,,,beaubien,viau,
22,,,jean-talon,assomption,
23,,,jarry,cadillac,
24,,,crémazie,langelier,
25,,,sauvé,radisson,
26,,,henri-bourassa,honoré-beaugrand,
27,,,cartier,,
28,,,de la concorde,,
29,,,montmorency,,
