raw_date,raw_title,raw_description,link
Publié le 28 mars 2024,Des secteurs à éviter sur les routes,"Les ponts Papineau-Leblanc et Laviolette seront à éviter durant le long congé de Pâques, en raison d’entraves à la circulation. Sur l’île de Montréal, l’avenue Papineau et la rue Saint-Jacques risquent aussi d’être congestionnées par moments.",https://www.lapresse.ca/actualites/circulation/2024-03-28/week-end-de-paques/des-secteurs-a-eviter-sur-les-routes.php
Publié le 28 mars 2024,Bureaux au centre-ville : le pire en attendant mieux,"Un jeudi sur deux, La Presse propose un retour sur ce qui retient l’attention dans le domaine de l’immobilier résidentiel et commercial.",https://www.lapresse.ca/affaires/marche-immobilier/2024-03-28/regard-sur-l-immobilier/bureaux-au-centre-ville-le-pire-en-attendant-mieux.php
Publié le 26 mars 2024,Montréal envisage de raser une partie du boisé Steinberg,"Montréal envisage de prolonger le boulevard de l’Assomption en passant à travers le boisé Steinberg, ce qui risque de détruire une partie de ce milieu naturel, au grand dam des résidents de Mercier–Hochelaga-Maisonneuve réclamant sa préservation.",https://www.lapresse.ca/actualites/grand-montreal/2024-03-26/prolongement-d-assomption-souligny/montreal-envisage-de-raser-une-partie-du-boise-steinberg.php
Publié le 25 mars 2024,Premier feu vert pour un nouveau gratte-ciel de 200 mètres,"L’ancien terminus d’autobus Mansfield, au pied de la Place Bonaventure, pourrait accueillir l’une des plus hautes tours de Montréal.",https://www.lapresse.ca/actualites/grand-montreal/2024-03-25/premier-feu-vert-pour-un-nouveau-gratte-ciel-de-200-metres.php
Publié le 23 mars 2024,Comment rêver le secteur Bridge-Bonaventure ?,"Notre journaliste se balade dans le Grand Montréal pour parler de gens, d’évènements ou de lieux qui font battre le cœur de leur quartier.",https://www.lapresse.ca/maison/immobilier/2024-03-23/la-vie-la-ville/comment-rever-le-secteur-bridge-bonaventure.php
Publié le 21 mars 2024,Le raccourci sera ouvert vendredi,Un raccourci qui devrait permettre à plusieurs usagers d’économiser du temps de transfert entre le métro et le Réseau express métropolitain (REM) ouvrira finalement ses portes ce vendredi au centre-ville de Montréal.,https://www.lapresse.ca/actualites/grand-montreal/2024-03-21/transfert-entre-le-rem-et-le-metro/le-raccourci-sera-ouvert-vendredi.php
Publié le 21 mars 2024,Une balade en métro vers nulle part ?,"« Geneviève Guilbault dans le métro. » C’était le titre d’une chronique de mars 2023, quand j’avais accompagné la nouvelle ministre des Transports dans les méandres du réseau de Paris.",https://www.lapresse.ca/actualites/chroniques/2024-03-21/une-balade-en-metro-vers-nulle-part.php
Publié le 20 mars 2024,« Un secteur à éviter » en fin de semaine,Une tempête parfaite de congestion s’annonce ce week-end dans l’un des secteurs les plus achalandés du réseau routier de Montréal. La circulation sera bloquée sur une portion de l’autoroute Décarie afin de remplacer une poutre d’un pont d’étagement et ajouter une passerelle piétonne reliant le métro au projet Royalmount.,https://www.lapresse.ca/actualites/circulation/2024-03-20/travaux-majeurs-sur-l-autoroute-decarie/un-secteur-a-eviter-en-fin-de-semaine.php
Publié le 18 mars 2024,Nouvelle panne pour le REM lundi matin,"Le service du Réseau express métropolitain (REM) a été interrompu pendant environ trois quarts d’heure, lundi matin, en raison d’un « problème de système de contrôle de trains » ayant touché l’ensemble du réseau.",https://www.lapresse.ca/actualites/grand-montreal/2024-03-18/nouvelle-panne-pour-le-rem-lundi-matin.php
Publié le 15 mars 2024,Recharger OPUS avec son mobile sera possible dès avril,"Après des années d’attente, les usagers du transport collectif du Grand Montréal pourront finalement recharger leur carte OPUS avec un téléphone mobile d’ici la fin d’avril. Et plusieurs autres villes de la province devraient monter à bord du train piloté par l’Autorité régionale de transport métropolitain (ARTM).",https://www.lapresse.ca/actualites/grand-montreal/2024-03-15/transport-collectif/recharger-opus-avec-son-mobile-sera-possible-des-avril.php
Publié le 14 mars 2024,Des grands axes à éviter ce week-end à Montréal,"Le défilé de la Saint-Patrick forcera des fermetures importantes sur le boulevard de Maisonneuve et l’autoroute Ville-Marie ce dimanche. Le boulevard René-Lévesque, le pont de l’Île-aux-Tourtes et le pont Laviolette, entre Trois-Rivières et Bécancour, risquent également d’être congestionnés.",https://www.lapresse.ca/actualites/circulation/2024-03-14/defile-de-la-saint-patrick/des-grands-axes-a-eviter-ce-week-end-a-montreal.php
Publié le 14 mars 2024,"Le « King de la dette » paye pour ses chèques électoralistes, selon l’opposition","François Legault a été comparé tour à tour par les partis de l’opposition à un « King de la dette » qui a mal dépensé les surplus passés, notamment en distribuant des chèques électoralistes, avec un budget qui a laissé de côté la crise du logement et le transport collectif.",https://www.lapresse.ca/actualites/politique/2024-03-14/budget-du-quebec-2024/le-king-de-la-dette-paye-pour-ses-cheques-electoralistes-selon-l-opposition.php
Publié le 13 mars 2024,La densification divise les élus,"Préparez-vous à voir votre quartier changer de visage. Les maires du Grand Montréal discutent ces jours-ci de la possibilité d’y augmenter de manière importante la densité, au risque de « bouleverser considérablement l’équilibre et la qualité de vie » dans certains secteurs, selon des élus rébarbatifs.",https://www.lapresse.ca/actualites/grand-montreal/2024-03-13/la-densification-divise-les-elus.php
Publié le 12 mars 2024,"Le robot démineur
a la mine basse","Icor, le robot démineur du SPVM, accuse le coup de son âge. L’appareil a de plus en plus de difficulté à monter les marches, a désormais besoin d’assistance pour accomplir certaines tâches, présente des problèmes de vision avec sa caméra défaillante et a une autonomie limitée due à la faiblesse de ses batteries.",https://www.lapresse.ca/actualites/2024-03-12/spvm/le-robot-demineur-a-la-mine-basse.php
Publié le 12 mars 2024,La future agence des transports sera à l’avant-garde,"La réforme gouvernementale sur les modes de réalisation des chantiers qui se profile à l’horizon suscite déjà beaucoup d’enthousiasme dans l’industrie de la construction, où plusieurs grands acteurs ne soumissionnent plus pour des contrats à prix fixes en raison des risques financiers. Et la future agence des transports, attendue cet automne, devrait être au cœur de cette refonte.",https://www.lapresse.ca/actualites/politique/2024-03-12/reforme-en-construction/la-future-agence-des-transports-sera-a-l-avant-garde.php
Publié le 12 mars 2024,"Plus vite, moins cher : Québec veut devenir « sexy »","Construire de 20 à 25 % plus vite, et payer de 15 à 20 % moins cher.",https://www.lapresse.ca/actualites/chroniques/2024-03-12/contrats-publics/plus-vite-moins-cher-quebec-veut-devenir-sexy.php
Publié le 6 mars 2024,Tir groupé pour plus d’investissement au pays,Une centaine de gens d’affaires appellent le gouvernement à modifier la réglementation sur les pensions,https://www.lapresse.ca/affaires/2024-03-06/caisses-de-retraite/tir-groupe-pour-plus-d-investissement-au-pays.php
Publié le 1 mars 2024,AtkinsRéalis toutes voiles dehors pour 2024,"La firme d’ingénierie AtkinsRéalis, anciennement SNC-Lavalin, a dévoilé des résultats supérieurs aux attentes des analystes tandis que les prévisions de la direction tracent un portait optimiste pour 2024. L’action gagnait 9 % en début de séance.",https://www.lapresse.ca/affaires/entreprises/2024-03-01/quatrieme-trimestre/atkinsrealis-toutes-voiles-dehors-pour-2024.php
Publié le 1 mars 2024,« Ça aurait pu très mal se terminer »,"Des usagers demeurés coincés pendant plus de deux heures sur le pont Samuel-De Champlain, lors de la panne majeure du Réseau express métropolitain (REM) mercredi soir, réclament des ajustements rapides pour éviter qu’une telle situation ne se reproduise. Québec et CDPQ Infra disent évaluer la situation.",https://www.lapresse.ca/actualites/grand-montreal/2024-03-01/panne-majeure-dans-le-rem/ca-aurait-pu-tres-mal-se-terminer.php
Publié le 29 févr. 2024,Plus de 55 000 clients privés d’électricité,"(Montréal) Les vents violents qui ont soufflé au Québec à compter de mercredi soir, mêlés à de la pluie et à de la neige selon les endroits, ont causé plusieurs centaines de pannes d’électricité dans un grand nombre de régions.",https://www.lapresse.ca/actualites/2024-02-29/vents-violents-pluie-et-neige-au-quebec/plus-de-55-000-clients-prives-d-electricite.php
Publié le 29 févr. 2024,"Moins bruyant, mais encore perturbant","Le bruit du Réseau express métropolitain (REM) sera significativement réduit d’ici le printemps dans Griffintown, Pointe-Saint-Charles et L’Île-des-Sœurs. La Caisse de dépôt affirme avoir respecté ses promesses, mais le climat sonore aux abords du train léger demeurera néanmoins assez élevé.",https://www.lapresse.ca/actualites/grand-montreal/2024-02-29/reseau-express-metropolitain/moins-bruyant-mais-encore-perturbant.php
Publié le 28 févr. 2024,"Des vents violents provoquent des pannes, des usagers du REM coincés","Des vents violents provoquent mercredi des pannes de courant dans plusieurs régions du Québec, quelques heures après qu’un nouveau record de chaleur ait été battu à Montréal. Des usagers du Réseau express métropolitain (REM) sont restés coincés dans le train pendant plus d’une heure.",https://www.lapresse.ca/actualites/2024-02-28/meteo/des-vents-violents-provoquent-des-pannes-des-usagers-du-rem-coinces.php
Publié le 28 févr. 2024,"Une pomme, une orange et un troisième lien",Le feuilleton routier le plus chaotique des dernières années vient de prendre une tournure encore plus déroutante.,https://www.lapresse.ca/actualites/chroniques/2024-02-28/une-pomme-une-orange-et-un-troisieme-lien.php
Publié le 22 févr. 2024,Le champion mondial des pannes causées par les usagers,"C’est dans le métro de Montréal que l’on compte le plus grand nombre d’interruptions de service causées par la clientèle dans le monde entier, révèlent des données internationales. Celles-ci mettent de nouveau en relief l’importance d’un futur système de portes palières, qui est toujours sur la glace.",https://www.lapresse.ca/actualites/grand-montreal/2024-02-22/metro-de-montreal/le-champion-mondial-des-pannes-causees-par-les-usagers.php
Publié le 21 févr. 2024,"Six mois après sa refonte, exo observe une hausse de l’achalandage","Six mois après sa refonte imposée par l’entrée en service du Réseau express métropolitain (REM), qui avait provoqué plusieurs plaintes chez les usagers, la situation se stabilise chez exo. Le transporteur affirme observer une baisse des plaintes de l’ordre de 80 % et une hausse de l’achalandage oscillant entre 6 et 9 %, selon le secteur.",https://www.lapresse.ca/actualites/grand-montreal/2024-02-21/autobus-sur-la-rive-sud/six-mois-apres-sa-refonte-exo-observe-une-hausse-de-l-achalandage.php
Publié le 21 févr. 2024,Laval propose un plan simplifié à Québec,"Laval augmente la pression pour relancer le prolongement de la ligne orange, toujours au point mort malgré des engagements répétés du gouvernement. Le maire Stéphane Boyer se dit même prêt à livrer un tracé sans expropriation et à le segmenter au besoin, afin d’en réduire les coûts au maximum.",https://www.lapresse.ca/actualites/grand-montreal/2024-02-21/prolongement-de-la-ligne-orange/laval-propose-un-plan-simplifie-a-quebec.php
Publié le 19 févr. 2024,Un État exemplaire (quand ça adonne),"Faites ce que je dis, pas ce que je fais.",https://www.lapresse.ca/actualites/chroniques/2024-02-19/un-etat-exemplaire-quand-ca-adonne.php
Publié le 17 févr. 2024,"Une nouvelle structure pour aider Montréal-Trudeau, demande la CCMM","Un « mur financier » se dresse devant Montréal-Trudeau, et Ottawa doit aider l’aéroport à le surmonter en lui permettant de se financer auprès de « partenaires privés », affirme la Chambre de commerce du Montréal métropolitain (CCMM). Il y a « urgence de décider », plaide son président et chef de la direction, Michel Leblanc.",https://www.lapresse.ca/affaires/2024-02-17/financement-des-aeroports/une-nouvelle-structure-pour-aider-montreal-trudeau-demande-la-ccmm.php
Publié le 16 févr. 2024,Un symbole de mauvaise gestion des projets,"ArriveCAN, voilà ce que la Prix Nobel Esther Duflo aurait appelé un « projet du bon sens » ! Les besoins semblaient clairs : recueillir les renseignements sur les coordonnées des voyageurs à leur arrivée au Canada pendant la pandémie de COVID-19 et faciliter ainsi leur triage selon le risque de contamination ou le statut vaccinal.",https://www.lapresse.ca/dialogue/opinions/2024-02-16/arrivecan/un-symbole-de-mauvaise-gestion-des-projets.php
Publié le 16 févr. 2024,L’ouest de Montréal veut son REV,"La popularité du premier tronçon du Réseau express vélo (REV) dans la rue Saint-Denis continue de faire des petits. Des adeptes du transport à deux roues réclament la mise sur pied d’un autre axe cyclable allant du nord au sud, mais cette fois dans l’ouest de l’île de Montréal.",https://www.lapresse.ca/actualites/grand-montreal/2024-02-16/pistes-cyclables/l-ouest-de-montreal-veut-son-rev.php
Publié le 15 févr. 2024,Poilievre réclame « la fin de toute violence » et la libération des otages,"Interrogé sur la guerre entre Israël et le Hamas alors qu’une puissante opération à Rafah est redoutée, le chef conservateur canadien Pierre Poilievre « revendique la fin de toute violence » et ajoute qu’il demande « au Hamas qu’il redonne tous les otages, qu’il se rende. »",https://www.lapresse.ca/actualites/politique/2024-02-15/israeel-et-le-hamas-en-guerre/poilievre-reclame-la-fin-de-toute-violence-et-la-liberation-des-otages.php
Publié le 15 févr. 2024,Poilievre veut donner des primes aux municipalités qui construisent des logements,"(Montréal) Le maire de Pointe-Claire, où Pierre Poilievre a tenu une conférence de presse jeudi, a tenu à répondre au chef du Parti conservateur du Canada qui a répété qu’il pénaliserait les villes qui ne construisent pas suffisamment de logements.",https://www.lapresse.ca/actualites/politique/2024-02-15/poilievre-veut-donner-des-primes-aux-municipalites-qui-construisent-des-logements.php
