raw_date,raw_title,raw_description,link
2 days ago,What's open and closed for Easter weekend,Many government services will be unavailable Friday and Monday.,https://montrealgazette.com/news/local-news/whats-open-and-closed-for-easter-weekend
2 days ago,Montreal to consult on plan to build road through Boisé Steinberg,Cutting down on through traffic from trucks and greening the area are among the motivations for a project to extend Assomption Blvd. toward Notre-Dame St. E. in the Hochelaga-Maisonneuve district.,https://montrealgazette.com/news/local-news/montreal-to-consult-on-plan-to-build-road-through-boise-steinberg
"March 22, 2024",Shortcut to Central Station REM platform opens at Place Bonaventure,Ticket vending machines will not be installed at the new access point for the next few days.,https://montrealgazette.com/news/local-news/shortcut-to-central-station-rem-platform-opens-at-place-bonaventure
"March 19, 2024",New leasing centre at Westisle brings luxury to life,The spacious leasing centre has a fully furnished model unit and a unique 3D tool that allows visitors to walk through each one of the project’s units,https://montrealgazette.com/sponsored/realestate-sponsored/new-leasing-centre-at-westisle-brings-luxury-to-life
"March 18, 2024",Updated: REM service restored after 'technical problem' halted trains,Service had been halted between Central Station and Brossard during the morning commute.,https://montrealgazette.com/news/local-news/rem-service-disrupted-during-morning-commute-because-of-a-technical-problem
"March 18, 2024",Residents can enjoy vacation vibes at Symphonia Viu,The luxury project is 75 per cent sold but still has several units available.,https://montrealgazette.com/sponsored/realestate-sponsored/residents-can-enjoy-vacation-vibes-at-symphonia-viu
"March 8, 2024",Allison Hanes: Public transit must be a priority for Quebec,The Coalition Avenir Québec must invest in transit to both bolster the economy and address climate change. But it's spinning its wheels.,https://montrealgazette.com/opinion/columnists/allison-hanes-public-transit-must-be-a-priority-for-quebec
"March 4, 2024",New véloroute will link REM stations to bike network,Builders of the REM and the city will be putting together an intricate bike path linking TMR to Ste-Anne-de-Bellevue and Deux Montagnes.,https://montrealgazette.com/news/local-news/new-veloroute-will-link-rem-stations-to-bike-network
"March 1, 2024","Weekend traffic March 1-4, 2024: La Fontaine Tunnel partly closed overnight","Also: Senneville exit on Highway 40 to close overnight, REM to start late on Saturday.",https://montrealgazette.com/news/local-news/weekend-traffic-march-1-4-2024-la-fontaine-tunnel-partly-closed-overnight
"February 29, 2024","Windstorm hangover: Extreme weather leaves nearly 70,000 Hydro clients in the dark","Several schools, including six in the West Island, are closed for the day.",https://montrealgazette.com/news/local-news/windstorm-hangover-extreme-weather-leaves-187000-hydro-quebec-clients-in-the-dark
