raw_date,raw_title,raw_description,link
Publié le 11 mars 2024,Ces femmes qui vous inspirent,"« Et vous, qui vous inspire ? », demandait Dominique Anglade dans un texte publié vendredi à l’occasion de la Journée internationale des droits des femmes. Dans vos réponses, vous avez cité des femmes qui brillent sur la scène publique, bien sûr, mais aussi vos sœurs, vos mères, vos amies et vos amoureuses. Voici quelques-uns des messages que nous avons reçus.",https://www.lapresse.ca/dialogue/courrier-des-lecteurs/2024-03-11/place-aux-lecteurs/ces-femmes-qui-vous-inspirent.php
Publié le 10 mars 2024,Un syndicat dénonce l’omniprésence des consultants,"Un important syndicat de professionnels demande à la Société de transport de Montréal (STM) de réduire l’effectif de centaines de consultants qui travaillent chaque jour dans ses bureaux avant de supprimer des postes comme elle l’a fait le mois dernier. Une opération qui risque de se répéter, alors que le déficit des transports en commun demeure béant.",https://www.lapresse.ca/actualites/grand-montreal/2024-03-10/societe-de-transport-de-montreal/un-syndicat-denonce-l-omnipresence-des-consultants.php
Publié le 9 mars 2024,Grande cure de jouvence,"Un vaste chantier se mettra en branle lundi à la station Saint-Michel, dans l’est de Montréal, au coût de 14 millions de dollars. La Société de transport de Montréal (STM) rénovera l’ensemble de cet espace névralgique du métro, dont l’achalandage grimpera sûrement avec le prolongement de la ligne bleue.",https://www.lapresse.ca/actualites/grand-montreal/2024-03-09/station-de-metro-saint-michel/grande-cure-de-jouvence.php
Publié le 6 mars 2024,La gare Lucien-L’Allier fermée dès le 1er avril pour des travaux majeurs,"Les travaux majeurs prévus à la gare Lucien-L’Allier seront finalement lancés à compter du 1er avril prochain. Le vaste chantier entraînera la fermeture du terminus de trois lignes importantes de trains de banlieue, au centre-ville de Montréal, pendant 6 à 12 mois.",https://www.lapresse.ca/actualites/grand-montreal/2024-03-06/trains-de-banlieue/la-gare-lucien-l-allier-fermee-des-le-1er-avril-pour-des-travaux-majeurs.php
Publié le 4 mars 2024,Collision mortelle entre un autobus de la STM et un piéton,Un homme a perdu la vie lundi soir après avoir été happé par un autobus de la Société de transport de Montréal (STM) dans l’arrondissement de Saint-Laurent.,https://www.lapresse.ca/actualites/justice-et-faits-divers/2024-03-04/montreal/collision-mortelle-entre-un-autobus-de-la-stm-et-un-pieton.php
Publié le 4 mars 2024,La STM pourrait s’inspirer de Paris pour réduire les arrêts de service,"Le métro de Paris n’interrompra plus son service quand un passager subit un malaise à bord d’un wagon, afin de minimiser les arrêts de service. La Société de transport de Montréal (STM) juge cette approche « intéressante » et envisage aussi certains ajustements.",https://www.lapresse.ca/actualites/grand-montreal/2024-03-04/malaises-dans-le-metro/la-stm-pourrait-s-inspirer-de-paris-pour-reduire-les-arrets-de-service.php
Publié le 1 mars 2024,Vers une nouvelle génération de véhicules,"Encore trop d’autobus électriques sont inutilisés en raison de leur faible autonomie, surtout dans le milieu scolaire. L’un des principaux fournisseurs, Lion Électrique, livrera toutefois bientôt une nouvelle génération de véhicules avec une autonomie de 250 kilomètres. Dans le secteur urbain, Nova Bus atteint déjà les 300 kilomètres.",https://www.lapresse.ca/actualites/2024-03-01/autobus-electriques/vers-une-nouvelle-generation-de-vehicules.php
Publié le 27 févr. 2024,Environ 1700 autobus dorment dans des garages,"Environ 1700 autobus prennent actuellement la poussière dans des garages des sociétés de transport au Canada, les transporteurs n’ayant pas l’argent pour les faire rouler, s’inquiète un nouveau rapport commandé par deux organisations écologistes. S’ils étaient mis en service, ces véhicules pourraient faire bondir l’offre de service.",https://www.lapresse.ca/actualites/2024-02-27/etude-sur-le-transport-collectif-au-canada/environ-1700-autobus-dorment-dans-des-garages.php
Publié le 22 févr. 2024,Le champion mondial des pannes causées par les usagers,"C’est dans le métro de Montréal que l’on compte le plus grand nombre d’interruptions de service causées par la clientèle dans le monde entier, révèlent des données internationales. Celles-ci mettent de nouveau en relief l’importance d’un futur système de portes palières, qui est toujours sur la glace.",https://www.lapresse.ca/actualites/grand-montreal/2024-02-22/metro-de-montreal/le-champion-mondial-des-pannes-causees-par-les-usagers.php
Publié le 21 févr. 2024,Le service reprend après une panne sur les quatre lignes,"Les quatre lignes du métro de Montréal ont été paralysées pendant quelques dizaines de minutes sur l’heure du midi, mercredi, en raison d’une panne du système de communication.",https://www.lapresse.ca/actualites/grand-montreal/2024-02-21/metro-de-montreal/le-service-reprend-apres-une-panne-sur-les-quatre-lignes.php
Publié le 21 févr. 2024,Ma canne blanche sous les roues d’un autobus,"Dernièrement, j’ai profité d’une belle matinée ensoleillée d’hiver pour faire une marche de santé dans mon quartier du Plateau-Mont-Royal. À l’intersection du boulevard Saint-Joseph et de l’avenue Christophe-Colomb, un autobus de la STM a roulé sur ma canne blanche. Je l’ai échappé belle.",https://www.lapresse.ca/dialogue/opinions/2024-02-21/pietons-aveugles-et-malvoyants/ma-canne-blanche-sous-les-roues-d-un-autobus.php
